calle;calleClean;name;surname;fiabilidad;gender;wikipedia
Calle San Juan Chiquito;San Juan Chiquito;San;Juan;-2;Male;
Calle La Vuelta del Nica;La Vuelta Nica;La;Vuelta;-2;Male;
Calle Celestino;Celestino;Celestino;;-2;Male;
Avenida Pastor Díaz;Pastor Díaz;Pastor;Díaz;-2;Male;
Calle Marvin;Marvin;Marvin;;-2;Male;
Condominio San Agustín;Condominio San Agustín;Condominio;San;-2;Male;
Condominio Don Paco;Condominio Don Paco;Condominio;Don;-2;Male;
Condominio Don Roberto;Condominio Don Roberto;Condominio;Don;-2;Male;
Avenida Manuel María de Peralta;Manuel María Peralta;Manuel;María;-2;Male;
Avenida Mauro Fernández;Mauro Fernández;Mauro;Fernández;-2;Male;
Avenida Presidente Roosevelt;Presidente Roosevelt;Presidente;Roosevelt;-2;Male;
Calle José María Zeledón;José María Zeledón;José;María;-2;Male;
Calle Vicente Sáenz;Vicente Sáenz;Vicente;Sáenz;-2;Male;
Calle Joaquín Vargas Coto;Joaquín Vargas Coto;Joaquín;Vargas;-2;Male;
Avenida Joaquín García Monge;Joaquín García Monge;Joaquín;García;-2;Male;
Calle Otilio Ulate Blanco;Otilio Ulate Blanco;Otilio;Ulate;-2;Male;
Calle Mario Sancho;Mario Sancho;Mario;Sancho;-2;Male;
Avenida José Cecilio del Valle;José Cecilio Valle;José;Cecilio;-2;Male;
Avenida Pedro Molina;Pedro Molina;Pedro;Molina;-2;Male;
Avenida San Martín;San Martín;San;Martín;-2;Male;
Avenida Rafael Francisco Osejo;Rafael Francisco Osejo;Rafael;Francisco;-2;Male;
Avenida Eladio Prado Sáenz;Eladio Prado Sáenz;Eladio;Prado;-2;Male;
Calle Ricardo Rojas Vincenzi;Ricardo Rojas Vincenzi;Ricardo;Rojas;-2;Male;
Calle Moisés Vincenzi;Moisés Vincenzi;Moisés;Vincenzi;-2;Male;
Avenida Simón Bolívar;Simón Bolívar;Simón;Bolívar;-2;Male;
Calle León Pacheco;León Pacheco;León;Pacheco;-2;Male;
Calle Constantino Láscaris;Constantino Láscaris;Constantino;Láscaris;-2;Male;
Calle Juan Santamaría;Juan Santamaría;Juan;Santamaría;-2;Male;
Avenida Florencio del Castillo;Florencio Castillo;Florencio;Castillo;-2;Male;
Avenida Nicolás Marín;Nicolás Marín;Nicolás;Marín;-2;Male;
Calle Tomás Guardia;Tomás Guardia;Tomás;Guardia;-2;Male;
Calle Luis Pasteur;Luis Pasteur;Luis;Pasteur;-2;Male;
Calle Enrique Echandi;Enrique Echandi;Enrique;Echandi;-2;Male;
Calle Alfredo Volio;Alfredo Volio;Alfredo;Volio;-2;Male;
Calle Juan Ramón Bonilla;Juan Ramón Bonilla;Juan;Ramón;-2;Male;
Calle Teodorico Quirós;Teodorico Quirós;Teodorico;Quirós;-2;Male;
Calle Juan Rafael Chacón;Juan Rafael Chacón;Juan;Rafael;-2;Male;
Calle Juan Rafael Mora Porras;Juan Rafael Mora Porras;Juan;Rafael;-2;Male;
Calle Jorge Vargas Gené;Jorge Vargas Gené;Jorge;Vargas;-2;Male;
Avenida Libertador Juan Rafael Mora Porras;Libertador Juan Rafael Mora Porras;Libertador;Juan;-2;Male;
Avenida Domingo Sarmiento;Domingo Sarmiento;Domingo;Sarmiento;-2;Male;
Avenida Monseñor Castro Jiménez;Monseñor Castro Jiménez;Monseñor;Castro;-2;Male;
Avenida Rogelio Fernández Güell;Rogelio Fernández Güell;Rogelio;Fernández;-2;Male;
Calle José María Cañas;José María Cañas;José;María;-2;Male;
