calle;calleClean;name;surname;fiabilidad;gender;wikipedia
Calle Omar Dengo Guerrero;Omar Dengo Guerrero;Omar;Dengo;-2;Male;
Avenida Amando Céspedes Marín;Amando Céspedes Marín;Amando;Céspedes;-2;Male;
Calle Julián Volio;Julián Volio;Julián;Volio;-2;Male;
Calle Manuel Benavides R.;Manuel Benavides R.;Manuel;Benavides;-2;Male;
Calle Pedro Henríquez Ureña;Pedro Henríquez Ureña;Pedro;Henríquez;-2;Male;
Calle Napoleón Quesada;Napoleón Quesada;Napoleón;Quesada;-2;Male;
Calle Don Tito;Don Tito;Don;Tito;-2;Male;
Avenida Joaquín González;Joaquín González;Joaquín;González;-2;Male;
Calle Cristóbal;Cristóbal;Cristóbal;;-2;Male;
Calle Román;Román;Román;;-2;Male;
Calle Altos de San Rafael;Altos San Rafael;Altos;San;-2;Male;
Calle Nardo Rivera;Nardo Rivera;Nardo;Rivera;-2;Male;
